"Flow","Type","Name","ActionName","ActionType","Details"
"Assign_Reviews_to_reviewers.flow-meta","ActionCall","Copy_1_of_Send_email_to_reviewer","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; composeEmailContent=True; emailSubject=New Proposal Assigned for Review; emailBody=<p><span style=""font-size: 14px;"">Dear {!Get_users.Contact.Salutation} {!Get_users.Name},</span></p><p><span style=""font-size: 14px;"">You???ve been assigned a project proposal titled </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">{!Loop_through_proposals.Project_Title__c} for review </span><span style=""font-size: 14px;"">under the Wadhwani Innovation Network (WIN).</span></p><p><strong style=""font-size: 14px;"">Review Deadline:</strong><span style=""font-size: 14px;""> Within </span><strong style=""font-size: 14px;"">10 days</strong><span style=""font-size: 14px;""> from the receipt of this email.</span></p><p><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">Please complete your review using this</span><a href=""https://wadhwanifoundation--wfdev.sandbox.my.site.com/ProposallReviewerPortal"" rel=""noopener noreferrer"" target=""_blank"" style=""font-size: 14px; color: rgb(18, 132, 189);""> link</a><span style=""font-size: 14px; color: rgb(18, 132, 189);"">.</span></p><p><span style=""font-size: 14px;"">For any support or queries, feel free to reach out to us at </span><strong style=""font-size: 14px;"">win@wadhwanifoundation.org</strong><span style=""font-size: 14px;"">.</span></p><p><span style=""font-size: 14px;"">Thank you for your valuable contribution to our mission of fostering innovation and impactful research.</span></p><p><br></p><p>Best Regards,</p><p><strong>WIN Management Team</strong></p><p><span style=""color: rgb(68, 68, 68); background-color: rgb(255, 255, 255);"">???</span></p>; sendRichBody=; recipientId="
"Assign_Reviews_to_reviewers.flow-meta","ActionCall","Send_email_to_reviewer","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; composeEmailContent=True; emailSubject=New Proposal Assigned for Review; emailBody=<p><span style=""font-size: 14px;"">Dear {!Get_users.Contact.Salutation} {!Get_users.Name},</span></p><p><span style=""font-size: 14px;"">You???ve been assigned a project proposal titled </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">{!Loop_through_proposals.Project_Title__c} for review </span><span style=""font-size: 14px;"">under the Wadhwani Innovation Network (WIN).</span></p><p><strong style=""font-size: 14px;"">Review Deadline:</strong><span style=""font-size: 14px;""> Within </span><strong style=""font-size: 14px;"">10 days</strong><span style=""font-size: 14px;""> from the receipt of this email.</span></p><p><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">Please complete your review using this</span><a href=""https://wadhwanifoundation--wfdev.sandbox.my.site.com/ProposallReviewerPortal"" rel=""noopener noreferrer"" target=""_blank"" style=""font-size: 14px; color: rgb(18, 132, 189);""> link</a><span style=""font-size: 14px; color: rgb(18, 132, 189);"">.</span></p><p><span style=""font-size: 14px;"">For any support or queries, feel free to reach out to us at </span><strong style=""font-size: 14px;"">win@wadhwanifoundation.org</strong><span style=""font-size: 14px;"">.</span></p><p><span style=""font-size: 14px;"">Thank you for your valuable contribution to our mission of fostering innovation and impactful research.</span></p><p><br></p><p>Best Regards,</p><p><strong>WIN Management Team</strong></p><p><span style=""color: rgb(68, 68, 68); background-color: rgb(255, 255, 255);"">???</span></p>; sendRichBody=; recipientId="
"COE_Approval_to_Win_Admin_Flow.flow-meta","ActionCall","LockProposalRecord","lockRecord","lockRecord","recordId=; action=Lock"
"COE_Approval_to_Win_Admin_Flow.flow-meta","ActionCall","unlock_the_record","ProposalLockController","apex","action=Unlock; recordId="
"Compliance_Documents_Wadhwani_Grants.flow-meta","ActionCall","Mail_for_Applicant_for_approval_of_compliance_document","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Compliance_Documents_Wadhwani_Grants.flow-meta","ActionCall","Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Compliance_Documents_Wadhwani_Grants.flow-meta","ActionCall","Mail_to_Applicant_to_alert_regarding_compliance_document_due","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Compliance_Documents_Wadhwani_Grants.flow-meta","ActionCall","Submission_mail_for_owner","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Acceptance_Notification","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=Congratulations! Your Proposal Has Been Accepted ??? WIN COE; emailBody=; sendRichBody=; recipientId=; logEmailOnSend=; ccRecipientAddressList=krtnakk@gmail.com"
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Notify_admin_on_new_proposal","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=; emailBody=; sendRichBody="
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Project_Approval_Notification_CEO_Approved","emailSimple","emailSimple","emailAddresses=; ccRecipientAddressList=krtnakk@gmail.com; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=; emailBody=; sendRichBody=; recipientId=; logEmailOnSend="
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Project_Proposal_Rejected","emailSimple","emailSimple","emailAddresses=; ccRecipientAddressList=krtnakk@gmail.com; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=; emailBody=; sendRichBody=; recipientId=; logEmailOnSend="
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Project_submission_confirmation_email","emailSimple","emailSimple","emailAddresses=; ccRecipientAddressList=krtnakk@gmail.com; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=; emailBody=; sendRichBody=; recipientId=; logEmailOnSend="
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Rejection_Notification","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=Proposal Decision ??? WIN COE; emailBody=; sendRichBody=; recipientId=; logEmailOnSend=; ccRecipientAddressList=krtnakk@gmail.com"
"Proposal_Submission_Confirmation.flow-meta","ActionCall","Send_submission_confirmation_email","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; emailSubject=Proposal Submission Confirmation ??? WIN COE; emailBody=; sendRichBody=; recipientId=; logEmailOnSend=; ccRecipientAddressList=krtnakk@gmail.com"
"Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","ActionCall","Due_Date_Reminder","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","ActionCall","Send_Flagged_Concern_Reviewer_Email","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId=; logEmailOnSend="
"Reviewer_Email_Alert_Wadhwani_Grants.flow-meta","ActionCall","new_evaluation_assigned_to_you","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId=; logEmailOnSend="
"Translate_Proposal_Record_trigger_Flow.flow-meta","ActionCall","new_proposal_updater_class","ProposalTranslationUpdater","apex","jsonText=; translatedProposalId="
"Translate_Proposal_Record_trigger_Flow.flow-meta","ActionCall","proposal_data_controller","ProposalDataCollector","apex","proposalId="
"Translate_Proposal_Record_trigger_Flow.flow-meta","ActionCall","proposal_prompt_new","Translate_Proposal_New","generatePromptResponse","Input:targetLanguage=en; Input:proposal_json="
"Unlock_proposal_when_status_is_Approved_for_Funding.flow-meta","ActionCall","Unlock_Proposal","lockRecord","lockRecord","recordId=; action=Unlock"
"Unlock_the_Proposals.flow-meta","ActionCall","Unlock_the_Proposal_record","lockRecord","lockRecord","recordId=; action=Unlock"
"Volody_contract_creation_callout_Flow.flow-meta","ActionCall","send_contractId_to_Apex","VolodyContractFlowInvoker","apex","contractId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Copy_1_of_Email_to_Validator_on_Application_submission","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Draft_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Email_to_alert_validator_on_due_near_ending","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Email_to_Validator_on_Application_submission","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Grant_Approved_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Grant_not_approved_mail_for_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Resubmitted_mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Revision_Request_mail_to_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Send_100_Day_Closure_Email","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Send_30_Day_Revision_Reminder_Email","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Submitted_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Under_Review_mail_to_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Returned_to_Validator_Alert","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Send_Information_Located_Email_to_Reviewer","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email.flow-meta","ActionCall","Send_Returned_by_Approver_Email_to_Reviewer","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Draft_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Grant_Approved_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Grant_not_approved_mail_for_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Resubmitted_mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Revision_Request_mail_to_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Send_email_to_validator","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Send_Mail_to_Validator_on_proposal_submission","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Submitted_Mail_to_Applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Email_Test.flow-meta","ActionCall","Under_Review_mail_to_applicant","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"Wadhwani_Grants_Welcome_Email_for_Applicant.flow-meta","ActionCall","Welcome_Email_to_Applicants","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId="
"WCF_Application_Decision_Flow.flow-meta","ActionCall","Send_Decision_Recorded_Email_to_Reviewer","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WCF_Approver_Email_Alert_Flow.flow-meta","ActionCall","Send_Decline_Recommended_Email_to_Approver","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WCF_Approver_Email_Alert_Flow.flow-meta","ActionCall","Send_Decision_Overdue_Email_to_Approver","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WCF_Approver_Email_Alert_Flow.flow-meta","ActionCall","Send_Ready_for_Decision_Email_to_Approver","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WCF_Assign_proposals_to_reviewers.flow-meta","ActionCall","Send_email_to_reviewer","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; composeEmailContent=True; emailSubject=New Proposal Assigned for Review; emailBody=<p><span style=""font-size: 14px;"">Dear </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">{!Get_User.Contact.Salutation}</span><span style=""font-size: 14px; background-color: rgb(255, 255, 255);"">{!Get_User.Name}</span><span style=""font-size: 14px;"">,</span></p><p><span style=""font-size: 14px;"">You???ve been assigned a proposal </span><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">for review.</span></p><p><strong style=""font-size: 14px;"">Review Deadline:</strong><span style=""font-size: 14px;""> Within </span><strong style=""font-size: 14px;"">10 days</strong><span style=""font-size: 14px;""> from the receipt of this email.</span></p><p><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(68, 68, 68);"">Please complete your review using this</span><a href=""https://wadhwanifoundation--wfdev.sandbox.my.site.com/ProposallReviewerPortal"" rel=""noopener noreferrer"" target=""_blank"" style=""font-size: 14px; color: rgb(18, 132, 189);""> </a><a href=""https://wadhwanifoundation--wfdev.sandbox.my.site.com/reviewersite"" rel=""noopener noreferrer"" target=""_blank"" style=""font-size: 14px; color: rgb(18, 132, 189);"">link.</a></p><p><span style=""font-size: 14px;"">For any support or queries, feel free to reach out to us at </span><strong style=""font-size: 14px;"">wcf@wadhwanifoundation.org</strong><span style=""font-size: 14px;"">.</span></p><p><span style=""font-size: 14px;"">Thank you for your valuable contribution to our mission of fostering innovation and impactful research.</span></p><p><br></p><p>Best Regards,</p><p>WCF Team</p><p><span style=""color: rgb(68, 68, 68); background-color: rgb(255, 255, 255);"">???</span></p>; sendRichBody=; recipientId="
"WCF_AutoConvertLeads.flow-meta","ActionCall","AutoConvertLeads","AutoConvertLeads","apex","LeadIds="
"WCF_Mail_Escalations.flow-meta","ActionCall","Flag_Mail_to_Approver","ApplicationReview.WCF_Flag_mail_to_Approver","emailAlert","SObjectRowId="
"WCF_Mail_Escalations.flow-meta","ActionCall","Pass_Mail_to_Reviewer","ApplicationReview.WCF_Pass_Mail_to_Reviewer","emailAlert","SObjectRowId="
"WCF_Preferred_Language.flow-meta","ActionCall","user_apex","UserLocaleSetter","apex","languageCode="
"WCF_Send_email_on_proposal_submission.flow-meta","ActionCall","Send_email_to_proposal_submitter","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; composeEmailContent=True; emailSubject=Your Proposal Has Been Received ; emailBody=<p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">Dear {!Get_Account.Name},</span><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">We have received your proposal and have initiated our internal review process.</span><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">You can expect to hear from us within 30 working days. We appreciate your interest in partnering with Wadhwani Foundation.</span><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Calibri, Calibri_EmbeddedFont, Calibri_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">Warm regards,&nbsp;</span><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: WordVisiCarriageReturn_MSFontService, Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">&nbsp;</span></p><p><span style=""color: rgb(0, 0, 0); background-color: rgb(255, 255, 255); font-size: 10pt; font-family: Aptos, Aptos_EmbeddedFont, Aptos_MSFontService, sans-serif;"">Wadhwani Charitable Foundation&nbsp;</span></p>; sendRichBody=; recipientId=; logEmailOnSend="
"WCF_Send_email_on_proposal_submission.flow-meta","ActionCall","Send_email_to_Validator","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; composeEmailContent=True; emailSubject=New Proposal Submitted for Validation; emailBody=<p>Dear Validator,</p><p><br></p><p>A new proposal has been submitted and is ready for your review.</p><p><br></p><p>Application ID: {!$Record.Name}</p><p>Submitted By: {!$Record.Account.Name}</p><p>Status : {!$Record.Status}</p><p><br></p><p>Please review: <a href=""https://wadhwanifoundation--wfdev.sandbox.my.site.com/reviewersite/s/validatorportal?statusFilter=validate"" rel=""noopener noreferrer"" target=""_blank"">Validate</a></p><p><br></p><p>Warm regards,</p><p>Wadhwani Charitable Foundation</p>; sendRichBody=; recipientId="
"WCF_User_Account_Update.flow-meta","ActionCall","Send_email","emailSimple","emailSimple","emailAddresses=; senderType=OrgWideEmailAddress; senderAddress=wcf@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateId=00Xe1000000BlwTEAS; recipientId=; logEmailOnSend="
"WF_Compliance_Document_flow.flow-meta","ActionCall","Approved_Email","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WF_Compliance_Document_flow.flow-meta","ActionCall","Onboarding_Complete_Email","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WF_Compliance_Document_flow.flow-meta","ActionCall","Compliance_Document_Requested","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
"WF_Compliance_Document_flow.flow-meta","ActionCall","Compliance_Documents_Reminder_Email_30","emailSimple","emailSimple","recipientAddresses=; senderType=OrgWideEmailAddress; senderAddress=grants.support@wadhwanifoundation.org; useEmailTemplate=True; emailTemplateName=; recipientId=; relatedRecordId="
